reportNum,bugNum
1,1
2,1
3,2
4,3
5,4
6,4
7,4
8,5
9,6
10,7
11,7
12,8
13,9
14,9
15,10
16,11
17,12
18,12
19,12
20,12
21,13
22,13
23,13
24,14
25,14
26,14
27,14
28,14
29,14
30,14
31,14
32,14
33,14
34,14
35,14
36,14
37,14
38,14
39,14
40,14
41,14
42,14
43,14
44,14
45,14
46,14
47,14
48,14
49,14
50,14
51,14
52,14
53,14
54,14
55,14
56,14
57,14
58,14
59,14
60,14
61,14
62,14
63,14
64,14
65,14
66,14
67,14
68,14
69,14
70,14
71,14
72,14
73,14
74,14
75,14
76,14
77,14
78,14
79,14
80,14
81,14
82,14
83,14
84,14
85,14
86,14
87,14
88,15
89,15
90,16
91,16
92,16
93,16
94,17
95,18
96,18
97,18
98,18
99,18
100,19
101,19
102,19
103,19
104,19
105,19
106,19
107,19
108,20
109,20
110,20
111,21
112,21
113,21
114,21
115,21
116,22
117,23
118,23
119,24
120,24
121,25
122,25
123,26
124,27
125,27
126,27
127,27
128,28
129,29
130,29
131,29
132,29
133,30
134,30
135,30
136,30
137,30
138,30
139,30
140,30
141,30
142,30
143,31
144,31
145,31
146,31
147,31
148,31
149,31
150,31
151,31
152,32
153,32
154,32
155,32
156,32
157,32
158,32
159,33
160,33
161,33
162,33
163,33
164,33
165,33
166,33
167,33
168,33
169,33
170,33
171,33
172,33
173,33
174,33
175,33
176,33
177,33
178,33
179,33
180,33
181,33
182,33
183,33
184,33
185,33
186,33
187,33
188,33
189,33
190,33
191,33
192,33
193,33
194,33
195,33
196,33
197,33
198,33
199,33
200,33
201,33
202,33
203,33
204,33
205,33
206,33
207,33
208,33
209,33
210,33
211,33
212,33
213,33
214,33
215,33
216,33
217,34
218,34
219,34
220,34
221,34
222,34
223,34
224,34
225,34
226,34
227,34
228,34
229,34
230,34
231,34
232,34
233,34
234,34
235,34
236,34
237,34
238,34
239,34
240,34
241,34
242,34
243,34
244,34
245,34
246,34
247,34
248,34
249,34
250,34
251,34
252,34
253,34
254,34
255,34
256,34
257,34
258,34
259,34
260,34
261,34
262,34
263,34
264,34
265,34
266,34
267,34
268,34
269,34
270,34
271,34
272,34
273,34
274,34
275,34
276,34
277,34
278,34
279,34
280,34
281,34
282,34
283,34
284,34
285,34
286,34
287,34
288,34
289,34
290,34
291,34
292,34
293,34
294,34
295,34
296,34
297,34
298,34
299,34
300,34
301,34
302,34
303,34
304,34
