method,para,performance
M0,Default,0.492957746
Mth,Default,0.953051643
MtCH,Default,0.492957746
MhCH,Default,0.492957746
MhJK,Default,1
M0,Default,0.852173913
Mth,Default,0.730434783
MtCH,Default,0.730434783
MhCH,Default,0.730434783
MhJK,Default,1
M0,Default,0.495575221
Mth,Default,0.991150442
MtCH,Default,0.433628319
MhCH,Default,0.433628319
MhJK,Default,1
M0,Default,1
Mth,Default,1
MtCH,Default,1
MhCH,Default,1
MhJK,Default,1
M0,Default,1
Mth,Default,1
MtCH,Default,0.901515152
MhCH,Default,0.954545455
MhJK,Default,1
M0,Default,0.910569106
Mth,Default,1
MtCH,Default,0.682926829
MhCH,Default,0.682926829
MhJK,Default,1
M0,Default,0.7
Mth,Default,0.7
MtCH,Default,0.7
MhCH,Default,0.7
MhJK,Default,1
M0,Default,0.894736842
Mth,Default,1
MtCH,Default,0.894736842
MhCH,Default,0.894736842
MhJK,Default,1
M0,Default,0.807692308
Mth,Default,0.875
MtCH,Default,0.875
MhCH,Default,0.942307692
MhJK,Default,1
M0,Default,0.726415094
Mth,Default,1
MtCH,Default,0.660377358
MhCH,Default,0.660377358
MhJK,Default,1
M0,Default,0.785046729
Mth,Default,1
MtCH,Default,0.785046729
MhCH,Default,0.785046729
MhJK,Default,1
M0,Default,0.717948718
Mth,Default,0.897435897
MtCH,Default,0.777777778
MhCH,Default,0.897435897
MhJK,Default,1
M0,Default,0.583333333
Mth,Default,0.987179487
MtCH,Default,0.583333333
MhCH,Default,0.717948718
MhJK,Default,1
